uvl_file,kr_file,features,groups,constraints,error
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c3_M02.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c3_M02.kr.pl,73,23,4,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c3_M03.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c3_M03.kr.pl,100,35,4,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c3_M04.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c3_M04.kr.pl,138,51,6,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c3_M05.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c3_M05.kr.pl,187,71,6,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c3_M06.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c3_M06.kr.pl,236,91,8,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c3_M07.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c3_M07.kr.pl,288,113,8,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c3_M08.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c3_M08.kr.pl,327,129,8,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c3_M09.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c3_M09.kr.pl,355,141,10,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c3_M10.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c3_M10.kr.pl,375,149,10,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c4_M01.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c4_M01.kr.pl,44,13,4,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c4_M02.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c4_M02.kr.pl,68,23,4,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c4_M03.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c4_M03.kr.pl,105,37,8,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c4_M04.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c4_M04.kr.pl,146,55,10,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c4_M05.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c4_M05.kr.pl,198,77,10,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c4_M06.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c4_M06.kr.pl,250,97,12,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c4_M07.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c4_M07.kr.pl,299,117,12,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c4_M08.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c4_M08.kr.pl,346,137,14,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c4_M09.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c4_M09.kr.pl,385,154,14,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c4_M10.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c4_M10.kr.pl,426,171,14,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c5_M01.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c5_M01.kr.pl,37,13,3,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c5_M02.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c5_M02.kr.pl,56,21,3,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c5_M03.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c5_M03.kr.pl,83,33,5,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c5_M04.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c5_M04.kr.pl,119,49,5,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c5_M05.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c5_M05.kr.pl,166,69,7,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c5_M06.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c5_M06.kr.pl,213,89,7,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c5_M07.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c5_M07.kr.pl,260,108,7,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c5_M08.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c5_M08.kr.pl,295,122,9,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c5_M09.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c5_M09.kr.pl,322,132,9,
C:\Users\pc\Desktop\phd file draft\phd new\جامعه اشبيليه\برنامج الايزو\vs code\medicareinternalaudit\uvl_defective_models\DEFECTIVE_ISO_DATA__Reduced_c5_M10.uvl,kr_outputs_defective\DEFECTIVE_ISO_DATA__Reduced_c5_M10.kr.pl,337,138,9,
