File_Name,Source_File,DF1_DeadFeature,FO_FalseOptional,RE_Redundancy
ISO_DATA__Reduced_c2_M01_injected.uvl,ISO_DATA__Reduced_c2_M01.uvl,medicare_50_branch__28,planned,item_cat12__iss1__item315__a_dedicated_file_for_the_microscope_device_is_available_and_includes_all_required_information_including_device_identification_details_calibration_records_routine_maintenance_logs_and_instructions_for_use_in_accordance_with_the_approved_policy
ISO_DATA__Reduced_c2_M02_injected.uvl,ISO_DATA__Reduced_c2_M02.uvl,medicare_3_branch_mc,Answers__cat20__iss1__item3851,item_cat28__iss2__item215__the_laboratory_ensures_that_the_section_area_is_routinely_cleaned_following_the_established_cleaning_protocol_to_maintain_safety_and_cleanliness__good_clean
ISO_DATA__Reduced_c2_M03_injected.uvl,ISO_DATA__Reduced_c2_M03.uvl,other_equipments_maintenance_and_manuals,item_cat12__iss1__item307__an_approved_file_for_the_autoclave_device_is_available_containing_all_required_information_such_as_maintenance_logs_calibration_records_operating_instructions_performance_test_documentation_and_other_supporting_records_and_it_is_regularly_updated_in_accordance_with_the_quality_system__yes,InternalAuditSystem
ISO_DATA__Reduced_c2_M04_injected.uvl,ISO_DATA__Reduced_c2_M04.uvl,note,reception,item_cat28__iss2__item1938080__the_semen_software_is_used_to_perform_semen_analysis_and_calculate_the_total_sperm_count_in_accordance_with_the_approved_procedure
ISO_DATA__Reduced_c2_M05_injected.uvl,ISO_DATA__Reduced_c2_M05.uvl,item_cat65__iss5__item19__telephone_calls_are_answered_within_the_defined_time_and_in_accordance_with_the_approved_medicare_communication_policy,item_cat28__iss2__item213__the_employee_adheres_to_the_approved_turnaround_time_for_issuing_semen_analysis_results_tat_and_compliance_with_the_defined_duration_is_verified__more_than_3_hours,item_cat20__iss1__item3851__note_done__not_applicable
ISO_DATA__Reduced_c2_M06_injected.uvl,ISO_DATA__Reduced_c2_M06.uvl,item_cat27__iss2__item1938177__comments_and_staff_names_are_entered_into_the_control_program_after_each_qc_run_in_accordance_with_the_approved_procedure__no,other_equipments_maintenance_and_manuals,item_cat34__iss2__item3599__the_laboratory_supervisor_reviews_all_critical_results_before_release_ensuring_accuracy_patient_identity_verification_and_proper_documentation_according_to_the_approved_procedure__no
ISO_DATA__Reduced_c2_M07_injected.uvl,ISO_DATA__Reduced_c2_M07.uvl,item_cat12__iss1__item307__an_approved_file_for_the_autoclave_device_is_available_containing_all_required_information_such_as_maintenance_logs_calibration_records_operating_instructions_performance_test_documentation_and_other_supporting_records_and_it_is_regularly_updated_in_accordance_with_the_quality_system__no,item_cat27__iss2__item1937316__following_each_maintenance_service_internal_quality_control_is_conducted_printed_and_appended_to_the_maintenance_report_including_documentation_noting_that_qc_was_performed_post_maintenance__yes,item_cat35__iss3__item230__verification_is_performed_to_ensure_that_the_section_area_is_cleaned_routinely_following_the_established_cleaning_protocol__satisfactiry_dust
ISO_DATA__Reduced_c2_M08_injected.uvl,ISO_DATA__Reduced_c2_M08.uvl,general_concerns,Answers__cat55__iss8__item764409,Answers__cat67__iss3__item1937169
ISO_DATA__Reduced_c2_M09_injected.uvl,ISO_DATA__Reduced_c2_M09.uvl,routine,item_cat12__iss1__item312__an_approved_file_for_the_incubator_device_is_available_containing_all_required_information_such_as_maintenance_logs_calibration_records_operating_instructions_and_performance_verification_documents_and_it_is_continuously_updated_in_accordance_with_the_quality_system__yes,item_cat34__iss2__item3610__verification_confirms_that_the_laboratory_supervisor_assesses_the_quality_of_laboratory_materials_and_contributes_to_supplier_performance_evaluation_by_documenting_conformity_delivery_reliability_and_material_related_issues__yes
ISO_DATA__Reduced_c2_M10_injected.uvl,ISO_DATA__Reduced_c2_M10.uvl,item_cat27__iss2__item101__daily_weekly_monthly_and_as_required_maintenance_checklists_are_completed_and_signed_according_to_the_electronic_forms_assigned_for_each_device__good_done_filled,Answers__cat28__iss2__item212,item_cat54__iss2__item242__the_department_s_sops_are_properly_available_on_the_authorized_electronic_platform_and_staff_access_to_the_approved_copies_is_ensured__not_applicable
ISO_DATA__Reduced_c3_M01_injected.uvl,ISO_DATA__Reduced_c3_M01.uvl,medicare_51_branch__27,medicare_5_branch_mh,medicare_41_branch_mw
ISO_DATA__Reduced_c3_M02_injected.uvl,ISO_DATA__Reduced_c3_M02.uvl,item_cat12__iss1__item315__a_dedicated_file_for_the_microscope_device_is_available_and_includes_all_required_information_including_device_identification_details_calibration_records_routine_maintenance_logs_and_instructions_for_use_in_accordance_with_the_approved_policy__yes,medicare_51_branch__27,quarter_3
ISO_DATA__Reduced_c3_M03_injected.uvl,ISO_DATA__Reduced_c3_M03.uvl,planned,item_cat28__iss2__item214__the_laboratory_performs_additional_confirmatory_examinations_such_as_checking_for_glucose_in_blood_samples_whenever_indicated_following_the_established_sop__no,medicare_18_branch_mk
ISO_DATA__Reduced_c3_M04_injected.uvl,ISO_DATA__Reduced_c3_M04.uvl,medicare_60_branch_my,Answers__cat28__iss2__item213,item_cat12__iss1__item315__a_dedicated_file_for_the_microscope_device_is_available_and_includes_all_required_information_including_device_identification_details_calibration_records_routine_maintenance_logs_and_instructions_for_use_in_accordance_with_the_approved_policy
ISO_DATA__Reduced_c3_M05_injected.uvl,ISO_DATA__Reduced_c3_M05.uvl,item_cat65__iss5__item19__telephone_calls_are_answered_within_the_defined_time_and_in_accordance_with_the_approved_medicare_communication_policy__yes_with_quick_answer,item_cat65__iss5__item16__all_required_patient_information_is_accurately_entered_including_full_name_age_telephone_number_and_when_available_national_id_number___1_missed,medicare_18_branch_mk
ISO_DATA__Reduced_c3_M06_injected.uvl,ISO_DATA__Reduced_c3_M06.uvl,note,item_cat66__iss5__item4730003__verification_is_performed_to_ensure_that_all_personnel_operating_the_device_have_received_proper_training_which_is_fully_documented_on_the_designated_training_form__no,medicare_1021_branch__35
ISO_DATA__Reduced_c3_M07_injected.uvl,ISO_DATA__Reduced_c3_M07.uvl,Answers__cat29__iss2__item1937934,medicare_20_branch__31,medicare_42_branch_mo
ISO_DATA__Reduced_c3_M08_injected.uvl,ISO_DATA__Reduced_c3_M08.uvl,item_cat55__iss8__item764409__temperature_readings_not_entered_into_the_system_due_to_system_downtime_are_documented_in_the_manual_logbook_and_later_updated_in_the_system_once_functionality_is_restored,Answers__cat65__iss5__item16,item_cat67__iss3__item1937169__the_staff_member_demonstrates_understanding_of_the_device_s_operating_principle_and_the_materials_required_for_its_operation__yes
ISO_DATA__Reduced_c3_M09_injected.uvl,ISO_DATA__Reduced_c3_M09.uvl,item_cat25__iss2__item43__the_phlebotomist_demonstrates_skill_and_competency_in_handling_children_and_performing_pediatric_blood_collection_safely_and_professionally,Answers__cat55__iss8__item1938105,medicare_22_branch__29
ISO_DATA__Reduced_c3_M10_injected.uvl,ISO_DATA__Reduced_c3_M10.uvl,item_cat12__iss1__item305__an_approved_file_for_the_balance_device_is_available_containing_all_required_information_such_as_calibration_records_maintenance_logs_performance_verification_documents_and_operating_instructions_and_it_is_regularly_updated_in_accordance_with_the_quality_management_system__yes,item_cat33__iss1__item2109565__storage_conditions_are_regularly_monitored_to_ensure_compliance_with_the_approved_procedure_including_temperature_humidity_and_proper_material_arrangement__not_applicable,medicare_10_branch_mj
ISO_DATA__Reduced_c4_M01_injected.uvl,ISO_DATA__Reduced_c4_M01.uvl,item_cat46__iss2__item102505__all_paraffin_blocks_shall_be_archived_systematically_in_accordance_with_the_approved_procedure_including_patient_information_sample_number_date_of_receipt_and_storage_location_to_ensure_proper_preservation_and_easy_retrieval__yes,unplanned,item_cat25__iss2__item45__phlebotomy_staff_safely_discard_needles_directly_into_the_sharps_box_after_use_with_no_recapping__yes
ISO_DATA__Reduced_c4_M02_injected.uvl,ISO_DATA__Reduced_c4_M02.uvl,item_cat55__iss8__item764409__temperature_readings_not_entered_into_the_system_due_to_system_downtime_are_documented_in_the_manual_logbook_and_later_updated_in_the_system_once_functionality_is_restored__yes,item_cat54__iss2__item243__the_laboratory_promptly_identifies_and_controls_any_contamination_incident_in_accordance_with_established_procedures_to_maintain_safety_and_quality_standards__no,item_cat46__iss2__item102505__all_paraffin_blocks_shall_be_archived_systematically_in_accordance_with_the_approved_procedure_including_patient_information_sample_number_date_of_receipt_and_storage_location_to_ensure_proper_preservation_and_easy_retrieval
ISO_DATA__Reduced_c4_M03_injected.uvl,ISO_DATA__Reduced_c4_M03.uvl,Answers__cat25__iss2__item43,medicare_50_branch__28,item_cat25__iss2__item45__phlebotomy_staff_safely_discard_needles_directly_into_the_sharps_box_after_use_with_no_recapping__not_applicable
ISO_DATA__Reduced_c4_M04_injected.uvl,ISO_DATA__Reduced_c4_M04.uvl,item_cat67__iss3__item107__monthly_hba1c_comparison_testing_is_performed_between_branches_using_small_analyzers_without_internal_control_and_branches_with_a_validated_analyzer_and_active_quality_control__not_applicable,item_cat46__iss2__item102505__all_paraffin_blocks_shall_be_archived_systematically_in_accordance_with_the_approved_procedure_including_patient_information_sample_number_date_of_receipt_and_storage_location_to_ensure_proper_preservation_and_easy_retrieval,item_cat55__iss8__item1938380__iso_certified_branches_comply_with_performing_and_documenting_monthly_thermometer_calibration_as_outlined_in_the_established_sop__no
ISO_DATA__Reduced_c4_M05_injected.uvl,ISO_DATA__Reduced_c4_M05.uvl,Answers__cat25__iss2__item47,item_cat59__iss1__item5169603__the_laboratory_shall_have_a_process_for_managing_competence_of_its_personnel_that_includes_requirements_for_frequency_of_competence_assessment_clause6_2_2_c__not_applicable,medicare_58_branch_mq
ISO_DATA__Reduced_c4_M06_injected.uvl,ISO_DATA__Reduced_c4_M06.uvl,item_cat67__iss3__item1937169__the_staff_member_demonstrates_understanding_of_the_device_s_operating_principle_and_the_materials_required_for_its_operation__not_applicable,item_cat55__iss8__item4729946__the_laboratory_verifies_that_device_backup_processes_are_consistently_performed_and_that_all_examination_results_including_those_not_captured_through_automatic_recording_systems_are_properly_retrieved_and_available__yes,item_cat54__iss2__item242__the_department_s_sops_are_properly_available_on_the_authorized_electronic_platform_and_staff_access_to_the_approved_copies_is_ensured__yes
ISO_DATA__Reduced_c4_M07_injected.uvl,ISO_DATA__Reduced_c4_M07.uvl,micro_active,item_cat67__iss3__item1937169__the_staff_member_demonstrates_understanding_of_the_device_s_operating_principle_and_the_materials_required_for_its_operation,item_cat25__iss2__item45__phlebotomy_staff_safely_discard_needles_directly_into_the_sharps_box_after_use_with_no_recapping
ISO_DATA__Reduced_c4_M08_injected.uvl,ISO_DATA__Reduced_c4_M08.uvl,item_cat25__iss2__item86__phlebotomy_staff_ensure_the_phlebotomy_room_is_cleaned_and_disinfected_after_each_use_and_prior_to_exiting__no,AuditPlan,item_cat67__iss3__item1937169__the_staff_member_demonstrates_understanding_of_the_device_s_operating_principle_and_the_materials_required_for_its_operation__no
ISO_DATA__Reduced_c4_M09_injected.uvl,ISO_DATA__Reduced_c4_M09.uvl,item_cat61__iss2__item5182405__the_laboratory_shall_identify_potential_risks_to_patient_care_in_the_pre_examination_examination_and_post_examination_processes_these_risks_shall_be_assessed_and_mitigated_to_the_extent_possible_the_residual_risk_shall_be_communicated_to_users_as_appropriate_the_identified_risks_and_effectiveness_of_the_mitigation_processes_shall_be_monitored_and_evaluated_according_to_the_potential_harm_to_the_patient_clause_7_1,item_cat28__iss2__item1938080__the_semen_software_is_used_to_perform_semen_analysis_and_calculate_the_total_sperm_count_in_accordance_with_the_approved_procedure,medicare_7_branch_mn
ISO_DATA__Reduced_c4_M10_injected.uvl,ISO_DATA__Reduced_c4_M10.uvl,item_cat55__iss8__item3573693__attachments_related_to_tests_referred_to_jordan_are_duly_uploaded_to_the_patients_file_as_part_of_the_documentation_and_reporting_process__yes,item_cat59__iss1__item5170887__the_laboratory_shall_have_a_procedure_to_establish_and_periodically_review_agreements_for_providing_laboratory_activities_clause_6_7_1__no,item_cat85__iss1__item6508395__abs_neutrophils__not_applicable
ISO_DATA__Reduced_c5_M01_injected.uvl,ISO_DATA__Reduced_c5_M01.uvl,medicare_17_branch__33,medicare_55_branch_mx,iso_active
ISO_DATA__Reduced_c5_M02_injected.uvl,ISO_DATA__Reduced_c5_M02.uvl,Answers__cat22__iss1__item723580,medicare_7_branch_mn,item_cat12__iss1__item315__a_dedicated_file_for_the_microscope_device_is_available_and_includes_all_required_information_including_device_identification_details_calibration_records_routine_maintenance_logs_and_instructions_for_use_in_accordance_with_the_approved_policy
ISO_DATA__Reduced_c5_M03_injected.uvl,ISO_DATA__Reduced_c5_M03.uvl,item_cat55__iss8__item1938380__iso_certified_branches_comply_with_performing_and_documenting_monthly_thermometer_calibration_as_outlined_in_the_established_sop__no,item_cat55__iss8__item764409__temperature_readings_not_entered_into_the_system_due_to_system_downtime_are_documented_in_the_manual_logbook_and_later_updated_in_the_system_once_functionality_is_restored__not_applicable,item_cat55__iss8__item1938380__iso_certified_branches_comply_with_performing_and_documenting_monthly_thermometer_calibration_as_outlined_in_the_established_sop__yes
ISO_DATA__Reduced_c5_M04_injected.uvl,ISO_DATA__Reduced_c5_M04.uvl,item_cat55__iss8__item764409__temperature_readings_not_entered_into_the_system_due_to_system_downtime_are_documented_in_the_manual_logbook_and_later_updated_in_the_system_once_functionality_is_restored__yes,item_cat20__iss1__item3851__note_done__yes,item_cat86__iss3__item241__the_work_area_is_disinfected_before_starting_work_and_after_completion_according_to_the_approved_procedure
ISO_DATA__Reduced_c5_M05_injected.uvl,ISO_DATA__Reduced_c5_M05.uvl,item_cat20__iss1__item3851__note_done__no,Answers__cat12__iss1__item312,quarter_4
ISO_DATA__Reduced_c5_M06_injected.uvl,ISO_DATA__Reduced_c5_M06.uvl,Answers__cat12__iss1__item312,item_cat28__iss2__item1938080__the_semen_software_is_used_to_perform_semen_analysis_and_calculate_the_total_sperm_count_in_accordance_with_the_approved_procedure,medicare_7_branch_mn
ISO_DATA__Reduced_c5_M07_injected.uvl,ISO_DATA__Reduced_c5_M07.uvl,item_cat28__iss2__item1938080__the_semen_software_is_used_to_perform_semen_analysis_and_calculate_the_total_sperm_count_in_accordance_with_the_approved_procedure__not_applicable,item_cat25__iss2__item45__phlebotomy_staff_safely_discard_needles_directly_into_the_sharps_box_after_use_with_no_recapping__not_applicable,item_cat29__iss2__item224__the_laboratory_performs_crp_quality_control_as_per_the_established_sop_and_records_all_results_on_the_approved_control_form__not_applicable
ISO_DATA__Reduced_c5_M08_injected.uvl,ISO_DATA__Reduced_c5_M08.uvl,item_cat28__iss2__item1938080__the_semen_software_is_used_to_perform_semen_analysis_and_calculate_the_total_sperm_count_in_accordance_with_the_approved_procedure__yes,item_cat55__iss8__item1938105__verification_is_performed_to_ensure_that_fire_extinguishers_are_present_in_designated_laboratory_locations_as_required_by_the_safety_plan,Answers__cat66__iss5__item5280988
ISO_DATA__Reduced_c5_M09_injected.uvl,ISO_DATA__Reduced_c5_M09.uvl,item_cat55__iss8__item1938380__iso_certified_branches_comply_with_performing_and_documenting_monthly_thermometer_calibration_as_outlined_in_the_established_sop__no,item_cat12__iss1__item305__an_approved_file_for_the_balance_device_is_available_containing_all_required_information_such_as_calibration_records_maintenance_logs_performance_verification_documents_and_operating_instructions_and_it_is_regularly_updated_in_accordance_with_the_quality_management_system,item_cat67__iss3__item39__staff_adhere_to_wearing_gloves_while_working_in_the_laboratory_sections_in_accordance_with_safety_requirements__not_applicable
ISO_DATA__Reduced_c5_M10_injected.uvl,ISO_DATA__Reduced_c5_M10.uvl,Answers__cat35__iss3__item1937126,item_cat29__iss2__item221__staff_adhere_to_the_established_and_approved_test_procedures_sops_for_all_examinations_ensuring_full_compliance_with_operational_requirements,item_cat25__iss2__item86__phlebotomy_staff_ensure_the_phlebotomy_room_is_cleaned_and_disinfected_after_each_use_and_prior_to_exiting__yes
